Ue_[V]      | Ua_[V]      | Ie_[A]        | F_[Hz]         | φ_[°]         | |Z|_[Ω]       | Z_[Ω]                | R_[Ω]       | X_[Ω]          | H_[1]        | H_[db]         
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
5.000e+00 V | 5.000e+00 V | 151.000e-06 A | 48.000e+00 Hz  | -88.300e+00 ° | 33.200e+03 Ω  | 1.000-33.200je+03 Ω  | 1.000e+03 Ω | -33.200e+03 Ω  | 1.000e+00    | -3.950e-03 dB  
5.000e+00 V | 5.000e+00 V | 157.000e-06 A | 50.000e+00 Hz  | -88.200e+00 ° | 31.800e+03 Ω  | 1.000-31.800je+03 Ω  | 1.000e+03 Ω | -31.800e+03 Ω  | 1.000e+00    | -4.280e-03 dB  
5.000e+00 V | 5.000e+00 V | 163.000e-06 A | 52.000e+00 Hz  | -88.100e+00 ° | 30.600e+03 Ω  | 1.000-30.600je+03 Ω  | 1.000e+03 Ω | -30.600e+03 Ω  | 999.000e-03  | -4.630e-03 dB  
5.000e+00 V | 5.000e+00 V | 170.000e-06 A | 54.000e+00 Hz  | -88.100e+00 ° | 29.500e+03 Ω  | 1.000-29.500je+03 Ω  | 1.000e+03 Ω | -29.500e+03 Ω  | 999.000e-03  | -5.000e-03 dB  
5.000e+00 V | 5.000e+00 V | 176.000e-06 A | 56.000e+00 Hz  | -88.000e+00 ° | 28.400e+03 Ω  | 1.000-28.400je+03 Ω  | 1.000e+03 Ω | -28.400e+03 Ω  | 999.000e-03  | -5.370e-03 dB  
5.000e+00 V | 5.000e+00 V | 182.000e-06 A | 58.000e+00 Hz  | -87.900e+00 ° | 27.500e+03 Ω  | 1.000-27.400je+03 Ω  | 1.000e+03 Ω | -27.400e+03 Ω  | 999.000e-03  | -5.760e-03 dB  
5.000e+00 V | 5.000e+00 V | 188.000e-06 A | 60.000e+00 Hz  | -87.800e+00 ° | 26.500e+03 Ω  | 1.000-26.500je+03 Ω  | 1.000e+03 Ω | -26.500e+03 Ω  | 999.000e-03  | -6.170e-03 dB  
5.000e+00 V | 5.000e+00 V | 195.000e-06 A | 62.000e+00 Hz  | -87.800e+00 ° | 25.700e+03 Ω  | 1.000-25.700je+03 Ω  | 1.000e+03 Ω | -25.700e+03 Ω  | 999.000e-03  | -6.590e-03 dB  
5.000e+00 V | 5.000e+00 V | 201.000e-06 A | 64.000e+00 Hz  | -87.700e+00 ° | 24.900e+03 Ω  | 1.000-24.900je+03 Ω  | 1.000e+03 Ω | -24.900e+03 Ω  | 999.000e-03  | -7.020e-03 dB  
5.000e+00 V | 5.000e+00 V | 207.000e-06 A | 66.000e+00 Hz  | -87.600e+00 ° | 24.100e+03 Ω  | 1.000-24.100je+03 Ω  | 1.000e+03 Ω | -24.100e+03 Ω  | 999.000e-03  | -7.460e-03 dB  
5.000e+00 V | 5.000e+00 V | 213.000e-06 A | 68.000e+00 Hz  | -87.600e+00 ° | 23.400e+03 Ω  | 1.000-23.400je+03 Ω  | 1.000e+03 Ω | -23.400e+03 Ω  | 999.000e-03  | -7.920e-03 dB  
5.000e+00 V | 5.000e+00 V | 220.000e-06 A | 70.000e+00 Hz  | -87.500e+00 ° | 22.800e+03 Ω  | 1.000-22.700je+03 Ω  | 1.000e+03 Ω | -22.700e+03 Ω  | 999.000e-03  | -8.390e-03 dB  
5.000e+00 V | 4.990e+00 V | 226.000e-06 A | 72.000e+00 Hz  | -87.400e+00 ° | 22.100e+03 Ω  | 1.000-22.100je+03 Ω  | 1.000e+03 Ω | -22.100e+03 Ω  | 999.000e-03  | -8.880e-03 dB  
5.000e+00 V | 4.990e+00 V | 232.000e-06 A | 74.000e+00 Hz  | -87.300e+00 ° | 21.500e+03 Ω  | 1.000-21.500je+03 Ω  | 1.000e+03 Ω | -21.500e+03 Ω  | 999.000e-03  | -9.380e-03 dB  
5.000e+00 V | 4.990e+00 V | 238.000e-06 A | 76.000e+00 Hz  | -87.300e+00 ° | 21.000e+03 Ω  | 1.000-20.900je+03 Ω  | 1.000e+03 Ω | -20.900e+03 Ω  | 999.000e-03  | -9.890e-03 dB  
5.000e+00 V | 4.990e+00 V | 245.000e-06 A | 78.000e+00 Hz  | -87.200e+00 ° | 20.400e+03 Ω  | 1.000-20.400je+03 Ω  | 1.000e+03 Ω | -20.400e+03 Ω  | 999.000e-03  | -10.400e-03 dB 
5.000e+00 V | 4.990e+00 V | 251.000e-06 A | 80.000e+00 Hz  | -87.100e+00 ° | 19.900e+03 Ω  | 1.000-19.900je+03 Ω  | 1.000e+03 Ω | -19.900e+03 Ω  | 999.000e-03  | -11.000e-03 dB 
5.000e+00 V | 4.990e+00 V | 257.000e-06 A | 82.000e+00 Hz  | -87.100e+00 ° | 19.400e+03 Ω  | 1.000-19.400je+03 Ω  | 1.000e+03 Ω | -19.400e+03 Ω  | 999.000e-03  | -11.500e-03 dB 
5.000e+00 V | 4.990e+00 V | 264.000e-06 A | 84.000e+00 Hz  | -87.000e+00 ° | 19.000e+03 Ω  | 1.000-18.900je+03 Ω  | 1.000e+03 Ω | -18.900e+03 Ω  | 999.000e-03  | -12.100e-03 dB 
5.000e+00 V | 4.990e+00 V | 270.000e-06 A | 86.000e+00 Hz  | -86.900e+00 ° | 18.500e+03 Ω  | 1.000-18.500je+03 Ω  | 1.000e+03 Ω | -18.500e+03 Ω  | 999.000e-03  | -12.700e-03 dB 
5.000e+00 V | 4.990e+00 V | 276.000e-06 A | 88.000e+00 Hz  | -86.800e+00 ° | 18.100e+03 Ω  | 1.000-18.100je+03 Ω  | 1.000e+03 Ω | -18.100e+03 Ω  | 998.000e-03  | -13.300e-03 dB 
5.000e+00 V | 4.990e+00 V | 282.000e-06 A | 90.000e+00 Hz  | -86.800e+00 ° | 17.700e+03 Ω  | 1.000-17.700je+03 Ω  | 1.000e+03 Ω | -17.700e+03 Ω  | 998.000e-03  | -13.900e-03 dB 
5.000e+00 V | 4.990e+00 V | 289.000e-06 A | 92.000e+00 Hz  | -86.700e+00 ° | 17.300e+03 Ω  | 1.000-17.300je+03 Ω  | 1.000e+03 Ω | -17.300e+03 Ω  | 998.000e-03  | -14.500e-03 dB 
5.000e+00 V | 4.990e+00 V | 295.000e-06 A | 94.000e+00 Hz  | -86.600e+00 ° | 17.000e+03 Ω  | 1.000-16.900je+03 Ω  | 1.000e+03 Ω | -16.900e+03 Ω  | 998.000e-03  | -15.100e-03 dB 
5.000e+00 V | 4.990e+00 V | 301.000e-06 A | 96.000e+00 Hz  | -86.500e+00 ° | 16.600e+03 Ω  | 1.000-16.600je+03 Ω  | 1.000e+03 Ω | -16.600e+03 Ω  | 998.000e-03  | -15.800e-03 dB 
5.000e+00 V | 4.990e+00 V | 307.000e-06 A | 98.000e+00 Hz  | -86.500e+00 ° | 16.300e+03 Ω  | 1.000-16.200je+03 Ω  | 1.000e+03 Ω | -16.200e+03 Ω  | 998.000e-03  | -16.400e-03 dB 
5.000e+00 V | 4.990e+00 V | 314.000e-06 A | 100.000e+00 Hz | -86.400e+00 ° | 15.900e+03 Ω  | 1.000-15.900je+03 Ω  | 1.000e+03 Ω | -15.900e+03 Ω  | 998.000e-03  | -17.100e-03 dB 
5.000e+00 V | 4.990e+00 V | 320.000e-06 A | 102.000e+00 Hz | -86.300e+00 ° | 15.600e+03 Ω  | 1.000-15.600je+03 Ω  | 1.000e+03 Ω | -15.600e+03 Ω  | 998.000e-03  | -17.800e-03 dB 
5.000e+00 V | 4.990e+00 V | 326.000e-06 A | 104.000e+00 Hz | -86.300e+00 ° | 15.300e+03 Ω  | 1.000-15.300je+03 Ω  | 1.000e+03 Ω | -15.300e+03 Ω  | 998.000e-03  | -18.500e-03 dB 
5.000e+00 V | 4.990e+00 V | 332.000e-06 A | 106.000e+00 Hz | -86.200e+00 ° | 15.000e+03 Ω  | 1.000-15.000je+03 Ω  | 1.000e+03 Ω | -15.000e+03 Ω  | 998.000e-03  | -19.200e-03 dB 
5.000e+00 V | 4.990e+00 V | 339.000e-06 A | 108.000e+00 Hz | -86.100e+00 ° | 14.800e+03 Ω  | 1.000-14.700je+03 Ω  | 1.000e+03 Ω | -14.700e+03 Ω  | 998.000e-03  | -20.000e-03 dB 
5.000e+00 V | 4.990e+00 V | 345.000e-06 A | 110.000e+00 Hz | -86.000e+00 ° | 14.500e+03 Ω  | 1.000-14.500je+03 Ω  | 1.000e+03 Ω | -14.500e+03 Ω  | 998.000e-03  | -20.700e-03 dB 
5.000e+00 V | 4.990e+00 V | 351.000e-06 A | 112.000e+00 Hz | -86.000e+00 ° | 14.200e+03 Ω  | 1.000-14.200je+03 Ω  | 1.000e+03 Ω | -14.200e+03 Ω  | 998.000e-03  | -21.500e-03 dB 
5.000e+00 V | 4.990e+00 V | 357.000e-06 A | 114.000e+00 Hz | -85.900e+00 ° | 14.000e+03 Ω  | 1.000-14.000je+03 Ω  | 1.000e+03 Ω | -14.000e+03 Ω  | 997.000e-03  | -22.200e-03 dB 
5.000e+00 V | 4.990e+00 V | 363.000e-06 A | 116.000e+00 Hz | -85.800e+00 ° | 13.800e+03 Ω  | 1.000-13.700je+03 Ω  | 1.000e+03 Ω | -13.700e+03 Ω  | 997.000e-03  | -23.000e-03 dB 
5.000e+00 V | 4.990e+00 V | 370.000e-06 A | 118.000e+00 Hz | -85.800e+00 ° | 13.500e+03 Ω  | 1.000-13.500je+03 Ω  | 1.000e+03 Ω | -13.500e+03 Ω  | 997.000e-03  | -23.800e-03 dB 
5.000e+00 V | 4.990e+00 V | 376.000e-06 A | 120.000e+00 Hz | -85.700e+00 ° | 13.300e+03 Ω  | 1.000-13.300je+03 Ω  | 1.000e+03 Ω | -13.300e+03 Ω  | 997.000e-03  | -24.600e-03 dB 
5.000e+00 V | 4.990e+00 V | 382.000e-06 A | 122.000e+00 Hz | -85.600e+00 ° | 13.100e+03 Ω  | 1.000-13.000je+03 Ω  | 1.000e+03 Ω | -13.000e+03 Ω  | 997.000e-03  | -25.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 388.000e-06 A | 124.000e+00 Hz | -85.500e+00 ° | 12.900e+03 Ω  | 1.000-12.800je+03 Ω  | 1.000e+03 Ω | -12.800e+03 Ω  | 997.000e-03  | -26.300e-03 dB 
5.000e+00 V | 4.980e+00 V | 395.000e-06 A | 126.000e+00 Hz | -85.500e+00 ° | 12.700e+03 Ω  | 1.000-12.600je+03 Ω  | 1.000e+03 Ω | -12.600e+03 Ω  | 997.000e-03  | -27.100e-03 dB 
5.000e+00 V | 4.980e+00 V | 401.000e-06 A | 128.000e+00 Hz | -85.400e+00 ° | 12.500e+03 Ω  | 1.000-12.400je+03 Ω  | 1.000e+03 Ω | -12.400e+03 Ω  | 997.000e-03  | -28.000e-03 dB 
5.000e+00 V | 4.980e+00 V | 407.000e-06 A | 130.000e+00 Hz | -85.300e+00 ° | 12.300e+03 Ω  | 1.000-12.200je+03 Ω  | 1.000e+03 Ω | -12.200e+03 Ω  | 997.000e-03  | -28.900e-03 dB 
5.000e+00 V | 4.980e+00 V | 413.000e-06 A | 132.000e+00 Hz | -85.300e+00 ° | 12.100e+03 Ω  | 1.000-12.100je+03 Ω  | 1.000e+03 Ω | -12.100e+03 Ω  | 997.000e-03  | -29.800e-03 dB 
5.000e+00 V | 4.980e+00 V | 419.000e-06 A | 134.000e+00 Hz | -85.200e+00 ° | 11.900e+03 Ω  | 1.000-11.900je+03 Ω  | 1.000e+03 Ω | -11.900e+03 Ω  | 996.000e-03  | -30.700e-03 dB 
5.000e+00 V | 4.980e+00 V | 426.000e-06 A | 136.000e+00 Hz | -85.100e+00 ° | 11.700e+03 Ω  | 1.000-11.700je+03 Ω  | 1.000e+03 Ω | -11.700e+03 Ω  | 996.000e-03  | -31.600e-03 dB 
5.000e+00 V | 4.980e+00 V | 432.000e-06 A | 138.000e+00 Hz | -85.000e+00 ° | 11.600e+03 Ω  | 1.000-11.500je+03 Ω  | 1.000e+03 Ω | -11.500e+03 Ω  | 996.000e-03  | -32.500e-03 dB 
5.000e+00 V | 4.980e+00 V | 438.000e-06 A | 140.000e+00 Hz | -85.000e+00 ° | 11.400e+03 Ω  | 1.000-11.400je+03 Ω  | 1.000e+03 Ω | -11.400e+03 Ω  | 996.000e-03  | -33.500e-03 dB 
5.000e+00 V | 4.980e+00 V | 444.000e-06 A | 142.000e+00 Hz | -84.900e+00 ° | 11.300e+03 Ω  | 1.000-11.200je+03 Ω  | 1.000e+03 Ω | -11.200e+03 Ω  | 996.000e-03  | -34.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 451.000e-06 A | 144.000e+00 Hz | -84.800e+00 ° | 11.100e+03 Ω  | 1.000-11.100je+03 Ω  | 1.000e+03 Ω | -11.100e+03 Ω  | 996.000e-03  | -35.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 457.000e-06 A | 146.000e+00 Hz | -84.800e+00 ° | 10.900e+03 Ω  | 1.000-10.900je+03 Ω  | 1.000e+03 Ω | -10.900e+03 Ω  | 996.000e-03  | -36.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 463.000e-06 A | 148.000e+00 Hz | -84.700e+00 ° | 10.800e+03 Ω  | 1.000-10.800je+03 Ω  | 1.000e+03 Ω | -10.800e+03 Ω  | 996.000e-03  | -37.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 469.000e-06 A | 150.000e+00 Hz | -84.600e+00 ° | 10.700e+03 Ω  | 1.000-10.600je+03 Ω  | 1.000e+03 Ω | -10.600e+03 Ω  | 996.000e-03  | -38.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 475.000e-06 A | 152.000e+00 Hz | -84.500e+00 ° | 10.500e+03 Ω  | 1.000-10.500je+03 Ω  | 1.000e+03 Ω | -10.500e+03 Ω  | 995.000e-03  | -39.400e-03 dB 
5.000e+00 V | 4.980e+00 V | 482.000e-06 A | 154.000e+00 Hz | -84.500e+00 ° | 10.400e+03 Ω  | 1.000-10.300je+03 Ω  | 1.000e+03 Ω | -10.300e+03 Ω  | 995.000e-03  | -40.500e-03 dB 
5.000e+00 V | 4.980e+00 V | 488.000e-06 A | 156.000e+00 Hz | -84.400e+00 ° | 10.300e+03 Ω  | 1.000-10.200je+03 Ω  | 1.000e+03 Ω | -10.200e+03 Ω  | 995.000e-03  | -41.500e-03 dB 
5.000e+00 V | 4.980e+00 V | 494.000e-06 A | 158.000e+00 Hz | -84.300e+00 ° | 10.100e+03 Ω  | 1.000-10.100je+03 Ω  | 1.000e+03 Ω | -10.100e+03 Ω  | 995.000e-03  | -42.600e-03 dB 
5.000e+00 V | 4.970e+00 V | 500.000e-06 A | 160.000e+00 Hz | -84.300e+00 ° | 10.000e+03 Ω  | 1.000-9.950je+03 Ω   | 1.000e+03 Ω | -9.950e+03 Ω   | 995.000e-03  | -43.700e-03 dB 
5.000e+00 V | 4.970e+00 V | 506.000e-06 A | 162.000e+00 Hz | -84.200e+00 ° | 9.880e+03 Ω   | 1.000-9.820je+03 Ω   | 1.000e+03 Ω | -9.820e+03 Ω   | 995.000e-03  | -44.800e-03 dB 
5.000e+00 V | 4.970e+00 V | 513.000e-06 A | 164.000e+00 Hz | -84.100e+00 ° | 9.760e+03 Ω   | 1.000-9.700je+03 Ω   | 1.000e+03 Ω | -9.700e+03 Ω   | 995.000e-03  | -45.900e-03 dB 
5.000e+00 V | 4.970e+00 V | 519.000e-06 A | 166.000e+00 Hz | -84.000e+00 ° | 9.640e+03 Ω   | 1.000-9.590je+03 Ω   | 1.000e+03 Ω | -9.590e+03 Ω   | 995.000e-03  | -47.000e-03 dB 
5.000e+00 V | 4.970e+00 V | 525.000e-06 A | 168.000e+00 Hz | -84.000e+00 ° | 9.530e+03 Ω   | 1.000-9.470je+03 Ω   | 1.000e+03 Ω | -9.470e+03 Ω   | 994.000e-03  | -48.100e-03 dB 
5.000e+00 V | 4.970e+00 V | 531.000e-06 A | 170.000e+00 Hz | -83.900e+00 ° | 9.420e+03 Ω   | 1.000-9.360je+03 Ω   | 1.000e+03 Ω | -9.360e+03 Ω   | 994.000e-03  | -49.300e-03 dB 
5.000e+00 V | 4.970e+00 V | 537.000e-06 A | 172.000e+00 Hz | -83.800e+00 ° | 9.310e+03 Ω   | 1.000-9.250je+03 Ω   | 1.000e+03 Ω | -9.250e+03 Ω   | 994.000e-03  | -50.400e-03 dB 
